Point_Index,VER_Speed,NOR_Speed,VER_RPM,NOR_RPM,VER_Throttle,NOR_Throttle,VER_Brake,NOR_Brake,VER_nGear,NOR_nGear,Speed_Gap_kmh,Speed_Leader
221,276.64166613333333,262.8083328,11024.411103288889,10516.3499648,100.0,99.4041664,False,False,7,6,13.833333333333314,VER
222,278.64166613333333,264.0,11053.744436622223,10595.0,100.0,100.0,False,False,7,7,14.641666133333331,VER
223,279.0,265.68214217142855,11059.0,10657.7999744,100.0,99.43928594285714,False,False,7,7,13.317857828571448,VER
224,281.0,267.0,11141.0,10707.0,100.0,99.0,False,False,7,7,14.0,VER
225,281.08500096,268.15499904,11144.06003456,10752.81496192,100.0,99.0,False,False,7,7,12.930001919999995,VER
226,282.0,270.0,11177.0,10826.0,100.0,99.0,False,False,7,7,12.0,VER
227,284.0,272.5285705142857,11239.0,10894.903546514286,100.0,99.0,False,False,7,7,11.471429485714282,VER
228,284.40714422857144,274.0,11254.878624914285,10935.0,100.0,99.0,False,False,7,7,10.40714422857144,VER
229,285.97857097142855,276.1545448727273,11316.164267885715,11029.7999744,100.0,99.0,False,False,7,7,9.824026098701268,VER
230,286.0,277.9727266909091,11317.0,11109.7999744,100.0,99.0,False,False,7,7,8.027273309090901,VER
231,287.0,278.0,11375.0,11111.0,100.0,99.0,False,False,7,7,9.0,VER
232,287.08500096,279.32749952,11377.125024,11172.9499776,100.0,99.0,False,False,7,7,7.757501439999999,VER
233,287.98,281.0,11399.5,11251.0,100.0,99.0,False,False,7,7,6.980000000000018,VER
234,288.0,282.36999936,11400.0,11279.76998656,100.0,99.0,False,False,7,7,5.630000639999992,VER
235,290.0,283.0,11446.0,11293.0,100.0,99.0,False,False,7,7,7.0,VER
236,290.28,284.0772724363636,11453.28,11382.413612218183,100.0,99.0,False,False,7,7,6.202727563636358,VER
237,291.0,285.0,11472.0,11459.0,100.0,99.0,False,False,7,7,6.0,VER
238,292.0,286.3562496,11500.0,11437.3000064,100.0,99.6781248,False,False,7,7,5.643750399999988,VER
239,292.0,287.0,11494.562675064035,11427.0,100.0,100.0,False,False,7,7,5.0,VER
240,292.0,288.0,11378.0,11455.0,100.0,100.0,False,False,7,7,4.0,VER
241,291.7687504,288.0,11334.7563248,11454.249994666667,81.7312816,100.0,False,False,7,7,3.7687503999999876,VER
242,291.0,288.0,11191.0,11445.0,21.0,100.0,False,False,7,7,3.0,VER
243,286.2906272,288.0,10902.01576,11448.471329910637,12.009379200000001,99.85536125372349,False,False,7,7,-1.7093727999999828,NOR
244,280.0,288.0,10516.0,11469.0,0.0,99.0,True,False,7,7,-8.0,NOR
245,278.67188,287.6437488,10554.9936032,11477.0750272,0.4249984,87.36246080000001,True,False,7,7,-8.971868800000038,NOR
