Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,VER_Speed,NOR_Speed,Distance_Leader
326,-5923.0,1449.0,-5957.817829402959,1374.133059803088,82.56718463640138,2834.4941481181977,2830.890555555556,3.603592562641552,155.5406312,177.0,VER
327,-5888.953137131563,1536.4700109707653,-5947.0,1397.0,151.06727722790427,2843.1252777777777,2833.2875207387324,9.8377570390453,132.0,168.6535808,VER
328,-5887.0,1542.0,-5906.0,1490.0,55.362442142665635,2843.7122696743118,2841.3627038450136,2.3495658292981716,131.3624928,136.4392950857143,VER
329,-5877.0,1574.0,-5905.511194069778,1491.2821034234655,87.49364891996902,2847.145739325042,2841.468333333334,5.6774059917079285,127.6125024,136.0,VER
330,-5860.778138340998,1668.6295431614678,-5878.859413757579,1576.4845581917837,93.90224052573812,2853.791944444444,2848.301666666667,5.49027777777701,120.0,123.0,VER
331,-5859.0,1683.0,-5864.0,1634.0,49.25444142409901,2854.914564829498,2853.744910164401,1.169654665096914,117.62143268571428,111.49500416000001,VER
332,-5858.657025087564,1729.4557834961772,-5862.609057771224,1639.1922815408925,90.34997702027601,2861.7252777777776,2854.4127777777785,7.3124999999990905,102.0,110.0,VER
333,-5864.0,1748.0,-5856.029411325295,1673.9810516945893,74.44686018940223,2864.8345054139227,2861.9572222222228,2.8772831916999166,98.58750186666667,97.0,VER
334,-5872.790891804047,1776.551902236544,-5859.0,1701.0,76.80025148598948,2868.0586111111106,2864.415842253731,3.642768857379451,95.0,94.57500160000001,VER
335,-5883.0,1805.0,-5869.0,1768.0,39.56008088970496,2871.103295662049,2868.355160192424,2.7481354696246854,93.84,90.5499968,VER
336,-5890.946779114062,1822.5206297567036,-5874.739508012004,1794.100838231032,32.716359622339525,2873.225277777777,2870.757222222223,2.4680555555542014,93.0,88.0,VER
337,-5912.67220697024,1853.4720812225512,-5890.0,1817.0,42.94463502704119,2876.9586111111103,2876.5096748101982,0.44893630091200976,84.0,80.62856777142858,VER
338,-5916.0,1857.0,-5891.972882742002,1820.0791418984222,44.05056329590369,2877.3194510184862,2876.979444444445,0.34000657404112644,83.66666666666667,80.0,VER
